date,ticker,score
2020-01-02,NVDA,2.6013286525473394
2020-01-02,GOOGL,2.1415343625636765
2020-01-02,AVGO,1.5170795374699335
2020-01-02,GS,0.3364480030274799
2020-01-02,AMZN,0.3357759205955928
2020-01-02,MS,0.27964273194867645
2020-01-02,META,0.22787079688124523
2020-01-02,TSLA,0.1774524283147644
2020-01-02,WFC,0.16524541532202378
2020-01-02,BAC,0.1329449642706317
2020-01-02,CVX,0.06171310948468006
2020-01-02,XOM,0.059740590113270174
2020-01-02,JPM,0.018683481939922437
2020-01-02,COP,-0.01595052792044001
2020-01-02,MA,-0.04157149415170617
2020-01-02,NFLX,-0.0580098357852293
2020-01-02,WMT,-0.07298019139892822
2020-01-02,V,-0.11180383726423004
2020-01-02,AXP,-0.1540062614587722
2020-01-02,PEP,-0.1541257829555409
2020-01-02,QCOM,-0.20065993071168506
2020-01-02,CAT,-0.20452114606725402
2020-01-02,UNH,-0.20700850670972912
2020-01-02,AAPL,-0.21595543458125088
2020-01-02,KO,-0.22584279960935347
2020-01-02,PG,-0.23312747701913086
2020-01-02,CSCO,-0.2607689173680576
2020-01-02,LLY,-0.27098962330119636
2020-01-02,COST,-0.29485038499133076
2020-01-02,MRK,-0.29909000770303895
2020-01-02,TMO,-0.32080377934952115
2020-01-02,ADBE,-0.3256506245124005
2020-01-02,JNJ,-0.3271541595457918
2020-01-02,ORCL,-0.3275141691656307
2020-01-02,CRM,-0.32939745969585044
2020-01-02,MSFT,-0.3371313366932252
2020-01-02,AMD,-0.3643876697128728
2020-01-02,MCD,-0.5334069354940119
2020-01-02,ABBV,-0.5478814923667231
2020-01-02,HD,-3.1128911345410564
2020-01-03,NVDA,2.605146311611424
2020-01-03,GOOGL,2.1261799953469462
2020-01-03,AVGO,1.541003353492882
2020-01-03,GS,0.33637471815425984
2020-01-03,AMZN,0.3360011483485532
2020-01-03,MS,0.2827854972330955
2020-01-03,META,0.22787079688124523
2020-01-03,WFC,0.16221690369218753
2020-01-03,TSLA,0.15003508080694258
2020-01-03,BAC,0.1382939443916545
2020-01-03,XOM,0.058372221794191
2020-01-03,CVX,0.058132143297761896
2020-01-03,JPM,0.019757852573729553
2020-01-03,COP,-0.021391568411557815
2020-01-03,MA,-0.041352258035081725
2020-01-03,NFLX,-0.05742265212652362
2020-01-03,WMT,-0.07337805751705949
2020-01-03,V,-0.11214057458735645
2020-01-03,AXP,-0.1536637425386879
2020-01-03,PEP,-0.1545270813548977
2020-01-03,QCOM,-0.19918119317496452
2020-01-03,CAT,-0.20334663998817834
2020-01-03,UNH,-0.20636310223607165
