date,factor,ic,rank_ic,n
2020-01-02,bp,0.026144509986189397,-0.09551820728291317,35
2020-01-02,ep,-0.07371033248875974,-0.17567567567567566,37
2020-01-02,roe,-0.1364098964558416,0.009109311740890687,39
2020-01-03,bp,0.036371628744601876,-0.08963585434173671,35
2020-01-03,ep,0.017713296106296267,-0.12968231389284018,37
2020-01-03,roe,-0.063230414115084,0.10161943319838057,39
2020-01-06,bp,0.04187417687699555,-0.10448179271708685,35
2020-01-06,ep,0.09076695921357,-0.17543859649122803,37
2020-01-06,roe,0.0204329668497457,0.19554655870445345,39
2020-01-07,bp,-0.05216434023751844,-0.10448179271708685,35
2020-01-07,ep,-0.0328217182972845,-0.11948790896159317,37
2020-01-07,roe,-0.010122996630090654,0.22914979757085022,39
2020-01-08,bp,-0.17754582538132485,-0.2904761904761905,35
2020-01-08,ep,-0.07635621581296129,-0.28639165481270745,37
2020-01-08,roe,0.02888260244027861,0.3016194331983806,39
2020-01-09,bp,-0.08494971900005291,-0.24285714285714288,35
2020-01-09,ep,0.008779726278643873,-0.1984352773826458,37
2020-01-09,roe,0.03127930684183004,0.32611336032388666,39
2020-01-10,bp,-0.05536433456418059,-0.1862745098039216,35
2020-01-10,ep,0.021450150622144733,-0.10929350403034611,37
2020-01-10,roe,-0.01713038411116013,0.255668016194332,39
2020-01-13,bp,-0.18377958595021981,-0.3876750700280112,35
2020-01-13,ep,-0.12075055984441911,-0.28639165481270745,37
2020-01-13,roe,-0.15850375208806874,0.21923076923076926,39
2020-01-14,bp,-0.0587600248798399,-0.3061624649859944,35
2020-01-14,ep,0.02267612662049382,-0.22783309625414885,37
2020-01-14,roe,-0.12860728670265006,0.2210526315789474,39
2020-01-15,bp,0.14445067215314145,-0.07478991596638655,35
2020-01-15,ep,0.2385684411606607,-0.027027027027027025,37
2020-01-15,roe,-0.08722237158902355,0.23663967611336031,39
2020-01-16,bp,0.11884375628717506,-0.130812324929972,35
2020-01-16,ep,0.23954890233701928,-0.13205310573731624,37
