date,portfolio_return,benchmark_return,turnover,cost,nav
2020-02-03,0.019017294825328546,0.0074287952692859704,1.0,0.001,1.0190172948253284
2020-02-04,0.02066587574031148,0.015240922755408226,0.0,0.0,1.0400761796174172
2020-02-05,-0.002577409883828269,0.011548217142813177,0.0,0.0,1.037395476992137
2020-02-06,0.004480027296688488,0.003364969862145628,0.0,0.0,1.042043037046523
2020-02-07,-0.0032166656686681066,-0.005329940153409041,0.0,0.0,1.0386911329839807
2020-02-10,0.011286808308707603,0.007465672262335632,0.0,0.0,1.0504146406939252
2020-02-11,0.0011081367120133578,0.0017329528446847764,0.0,0.0,1.0515786437201144
2020-02-12,0.006626641675882944,0.006442607889104446,0.0,0.0,1.0585470785860587
2020-02-13,0.0014869125101586614,-0.001066976872798775,0.0,0.0,1.0601210454798002
2020-02-14,0.004621420947741012,0.0016023234036111056,0.0,0.0,1.0650203110865217
2020-02-18,0.003321450725828096,-0.0025772428516501744,0.0,0.0,1.0685577235718018
2020-02-19,0.012088380103113134,0.004781334735479925,0.0,0.0,1.081474855496455
2020-02-20,-0.008513618066737613,-0.0041080562296982315,0.0,0.0,1.072267591627978
2020-02-21,-0.01260167548217594,-0.010298332724985926,0.0,0.0,1.0587552234082278
2020-02-24,-0.038159139451237015,-0.033165753161968015,0.0,0.0,1.0183540351934677
2020-02-25,-0.0290616930461066,-0.030301718383401566,0.0,0.0,0.9887589428104111
2020-02-26,-0.0005434971782222963,-0.003678398649591186,0.0,0.0,0.9882215551150515
2020-02-27,-0.048436313061975725,-0.044911701351803224,0.0,0.0,0.9403557464969063
2020-02-28,-0.006900677563462387,-0.0042016495456341785,0.0,0.0,0.9338666546953822
2020-03-02,0.04709492413342815,0.043306532342721304,0.8,0.0008,0.9778470339489996
2020-03-03,-0.03219934981986966,-0.028632473876901487,0.0,0.0,0.9463609952325539
2020-03-04,0.03673144826581289,0.042033195897616116,0.0,0.0,0.9811222051697217
2020-03-05,-0.03486044381669147,-0.033241556936144834,0.0,0.0,0.9469198496590941
2020-03-06,-0.019594313906610598,-0.016531432144847646,0.0,0.0,0.9283656048804734
2020-03-09,-0.08097245458092134,-0.07809425210165544,0.0,0.0,0.8531935631047997
2020-03-10,0.05656292790642055,0.0517447239017792,0.0,0.0,0.9014526891049185
2020-03-11,-0.04646058712690732,-0.04874854606633805,0.0,0.0,0.8595706679019745
2020-03-12,-0.1001394573691693,-0.0956770044147448,0.0,0.0,0.7734937276478163
2020-03-13,0.10416994018745654,0.08548594098648454,0.0,0.0,0.8540685229922621
2020-03-16,-0.11985975537128091,-0.10942354822884526,0.0,0.0,0.7517000787560983
2020-03-17,0.04890890890775013,0.05399240231926261,0.0,0.0,0.788464909433929
2020-03-18,-0.04884785094532747,-0.05063298412879991,0.0,0.0,0.7499500930622793
